"Path","KB","Extension"
"public\images\blog\brastemp-bfs5ncr-blog-premium.webp","41,5",".webp"
"public\images\blog\consul-cfs5nab-blog-premium.webp","50,9",".webp"
"public\images\blog\electrolux-fe5ig-blog-premium.webp","40,5",".webp"
"public\images\blog\fogao-4-bocas-ainda-vale-a-pena\corpo-fogao-4-bocas-cozinha-compacta-moderna.webp","62,7",".webp"
"public\images\blog\fogao-5-bocas-reduz-espaco-cozinha\corpo-comparativo-cooktop-fogao-piso.webp","99,5",".webp"
"public\images\blog\fogao-5-bocas-reduz-espaco-cozinha\corpo-cozinha-corredor-fogao-5-bocas.webp","45,3",".webp"
"public\images\blog\fogao-5-bocas-reduz-espaco-cozinha\corpo-cozinha-corredor-fogao-5-bocas-estreita.webp","89,5",".webp"
"public\images\blog\hero reduz espaço na cozinha.webp","110,1",".webp"
"public\images\blog\melhor-fogao-com-forno-duplo\corpo-fogao-forno-duplo-cozinha-editorial.webp","195,2",".webp"
"public\images\blog\melhor-fogao-com-forno-duplo\corpo-fogao-forno-duplo-cozinha-verde.png","58,3",".png"
"public\images\blog\melhor-fogao-com-forno-duplo\corpo-fogao-forno-duplo-fornos-paralelos.png","65,5",".png"
"public\images\blog\melhor-fogao-com-forno-duplo\corpo-fogao-forno-duplo-gabarito-medidas.webp","34,9",".webp"
"public\images\brastemp-source.png","80,4",".png"
"public\images\logo\logo-casa-pratica-eletro.webp","12,4",".webp"
"public\images\logo\logo-casa-pratica-eletro-header.png","32,8",".png"
"public\images\logo\logo-casa-pratica-eletro-header.webp","13,4",".webp"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157894.png","102,3",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157895.png","139,6",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157896.png","125,3",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157897.png","201,3",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157898.png","117,1",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157899.png","118,7",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157900.png","309",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157901.png","700,9",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157902.png","411,4",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157903.png","331,5",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157904.png","482,7",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157905.png","69,2",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157906.png","102,3",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157907.png","139,6",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157908.png","125,3",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157909.png","201,3",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-157910.png","117,1",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-from-official-soft.png","316,3",".png"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-from-official-soft.webp","26,9",".webp"
